sine_sec,sine_autal_sec,cosine_sec,cosine_autal_sec
36310.945659949,27703.969684253476,165171.5418494572,185479.48537927668
127968.91386611754,154656.71083467462,81510.50762493617,58526.74422885551
92039.15932148881,100334.38847187003,108602.26830348416,112849.06659166011
98899.80868093821,118208.25191184717,2716.61649572525,94975.20315168299
92039.15932148881,167733.91692690927,108602.26830348416,45449.53813662087
100735.84515075949,62060.06260444549,86341.41574244454,151123.39245908466
100735.84515075949,71238.79469745864,86341.41574244454,141944.6603660715
134068.0886172589,188854.8703452405,66784.47172947961,24328.584718289665
64175.9025590542,194697.68602028984,132765.91204119276,18485.769043240332
20667.69371052221,31553.1252702827,183250.12887134607,181630.32979324742
168028.0180009506,159907.33050644986,38477.69870363917,53276.12455708029
16871.91470435972,12218.570248548613,190306.45184695325,200964.8848149816
64175.9025590542,66294.13276211721,132765.91204119276,146889.32230141296
170526.55686101146,157538.62545018844,38299.12777934772,55644.82961334172
138687.59929209517,117852.93628380365,47105.51041430872,95330.51877972651
167392.28065450952,164684.21903657704,43734.65184748974,48499.23602695314
100735.84515075949,51312.07328126353,86341.41574244454,161871.38178226663
64175.9025590542,54638.12996443067,132765.91204119276,158545.32509909946
15934.458055912124,54776.30442604589,187069.50846072988,158407.15063748427
114375.46481210068,149494.8978633005,73129.27260263341,63688.55720022965
141040.3330290733,190019.48366456915,50227.25282613535,23163.971398961054
140804.69384259506,146889.3223014129,65929.23931173552,66294.13276211725
15845.764316223183,12258.048666152927,171065.94651316426,200925.40639737717
140804.69384259506,132183.62161339403,65929.23931173552,80999.83345013612
182049.14650951055,187798.84241353255,18894.501601539556,25384.61264999756
191086.03850868891,172096.29194179512,12450.662043226306,41087.16312173502
170526.55686101146,158249.24683667117,38299.12777934772,54934.20822685901
99374.35017224212,96653.03589986819,112498.79905256523,116530.41916366197
15934.458055912124,1362.0054073503509,187069.50846072988,211821.44965617987
15845.764316223183,18939.760976086072,171065.94651316426,194243.69408744405
113118.51624434124,115119.06573430628,20657.372352503025,98064.3893292239
186607.6919750366,191174.23724910087,6620.488485861583,22009.217814429274
168028.0180009506,173063.51317310196,38477.69870363917,40119.94189042822
33321.61888299281,16807.92642545078,168834.53286911643,196375.52863807936
33321.61888299281,43357.16226438117,168834.53286911643,169826.292799149
175936.75870452935,197915.1671854406,25732.38107275303,15268.287878089537
185037.9697812541,203866.54850890185,5368.0918905102835,9316.906554628322
182773.95460771615,181768.5141244671,25340.50439965509,31414.940939063097
162085.95639791794,191884.8487659794,4370.929301157427,21298.606297550716
176011.99945108686,143977.79887269592,1017.4768812104417,69205.65619083424
175936.75870452935,199622.61861643344,25732.38107275303,13560.836447096746
117852.95588914839,113826.14755776359,93036.18610442357,99357.3075057666
182773.95460771615,196109.04931924996,25340.50439965509,17074.40574428026
108364.40977867415,85984.00341189481,103478.82371591967,127199.45165163538
115973.04371599264,96741.87220908228,69197.42444165256,116441.58285444789
71548.12371098543,59602.55084778291,129758.19116050866,153580.90421574723
176011.99945108686,117695.04235259496,1017.4768812104417,95488.41271093521
117852.95588914839,123162.79332119414,93036.18610442357,90020.66174233603
100735.84515075949,77890.91793339723,86341.41574244454,135292.53713013293
66293.24749317655,62859.50056093372,129085.38474493574,150323.95450259643
15934.458055912124,19739.198932574345,187069.50846072988,193444.25613095582
64175.9025590542,46939.8286619766,132765.91204119276,166243.6264015536
182773.95460771615,185035.35318122763,25340.50439965509,28148.101882302493
33623.022680780814,789.5584824827533,156064.29185726383,212393.89658104774
140804.69384259506,154903.4509447018,65929.23931173552,58280.00411882837
15845.764316223183,18742.378757668717,171065.94651316426,194441.07630586147
146231.48247530783,133338.36532832152,62870.1116924541,79845.08973520865
140804.69384259506,133575.22596434344,65929.23931173552,79608.22909918672
20667.69371052221,103561.74911102628,183250.12887134607,109621.7059525039
140804.69384259506,151419.4707215129,65929.23931173552,61763.98434201726
75275.28708194585,66422.42774972705,130070.2214632356,146761.0273138031
15934.458055912124,16610.534337429024,187069.50846072988,196572.92072610112
104484.60461403965,196888.7381973317,68122.76751346675,16294.716866198498
