sine_sec,sine_autal_sec,cosine_sec,cosine_autal_sec
129666.38337594767,131354.57484370258,83263.61311401047,81828.8802198276
104205.67653111143,102407.02513530749,108951.47560140576,110776.42992822269
197807.46438604535,210390.357018022,8814.285025800866,2793.098045508321
115974.61803112838,114517.01986583976,83127.22588562811,98666.43519769041
167135.92022809392,169737.45648993485,43510.22371494376,43445.9985735953
200071.56186282865,209235.61330309452,2443.773249739391,3947.8417604357237
157587.45859273992,162345.12279351894,54747.25692179069,50838.33227001119
194731.31119971897,212384.017107042,10920.757374180377,799.4379564882539
46274.325005183724,63382.599463795865,165133.85204257446,149800.8555997343
168064.4811157716,159127.6218891593,40276.38434746251,54055.83317437089
185138.2762851851,186930.31722623686,24689.170015586464,26253.137837293332
181169.92894182072,172421.9888870312,13361.475797425419,40761.466176498936
185138.2762851851,114753.89037146607,24689.170015586464,98429.5646920641
115974.61803112838,93435.53499550854,83127.22588562811,119747.9200680216
200071.56186282865,205208.80483784544,2443.773249739391,7974.650225684602
168064.4811157716,169767.05543353368,40276.38434746251,43416.39962999649
185138.2762851851,185676.86759769413,24689.170015586464,27506.587465836023
140927.2511245957,130436.69176479698,71258.25223580968,82746.76329873316
113526.45825605192,106798.98922418794,98926.11800602992,106384.46583934221
179043.56643149772,187255.99443226392,32275.550344679297,25927.46063126622
96845.61149436564,80062.23090163687,116142.73333198446,133121.2241618933
87024.04541278118,64448.516739113504,66627.86277865375,148734.93832441664
185138.2762851851,202336.7696963373,24689.170015586464,10846.68536719279
117241.65018371453,116382.38496724998,95906.88366205698,96801.07009628018
182420.89535932455,191815.76153517174,23320.524588350407,21367.693528358443
168064.4811157716,160479.76756171312,40276.38434746251,52703.687501817054
18910.878454069472,8902.383169782554,189761.81688328792,204281.0718937475
185138.2762851851,191983.54480999027,24689.170015586464,21199.910253539925
194731.31119971897,191529.55287714448,10920.757374180377,21653.90218638572
163819.47788241596,163292.6048160234,48706.37540988531,49890.85024750674
195114.21697153413,196849.2499101229,13348.36654545431,16334.205153407242
167135.92022809392,183298.3028066359,43510.22371494376,29885.15225689427
194731.31119971897,200017.402792477,10920.757374180377,13166.052271053184
69249.69130161527,72689.63641402319,143874.24486621298,140493.81864950695
28914.703359515217,20874.203438699606,176409.1373114289,192309.25162483056
185138.2762851851,195783.34250440975,24689.170015586464,17400.11255912047
117241.65018371453,118445.13228707765,95906.88366205698,94738.3227764525
177920.38548330354,175106.53115373172,35104.349701166204,38076.923909798395
179043.56643149772,172846.3720066735,32275.550344679297,40337.083056856674
146834.99107518265,159038.805319154,64949.834952583136,54144.649744376184
185138.2762851851,169500.5859843087,24689.170015586464,43682.869079221426
58286.68396214778,60480.92590027122,151993.07039548265,152702.52916325894
115974.61803112838,97353.76794274108,83127.22588562811,115829.68712078907
28914.703359515217,20242.54875702991,176409.1373114289,192940.90630650023
152468.18579416975,99150.03594373933,46402.70106386229,114033.41911979082
194731.31119971897,169757.2055683413,10920.757374180377,43426.24949518884
185138.2762851851,183466.08608145444,24689.170015586464,29717.368982075757
200071.56186282865,211298.3606229216,2443.773249739391,1885.0944406080455
96845.61149436564,96021.38121819842,116142.73333198446,117162.07384533173
167135.92022809392,173922.178625601,43510.22371494376,39261.27643792917
167135.92022809392,174050.4736132109,43510.22371494376,39132.98145031926
17575.31324763391,10254.518972731841,192102.32002919007,202928.93609079835
94608.29517211103,96603.68787786274,118485.54387554762,116579.76718566743
194731.31119971897,169500.5859843087,10920.757374180377,43682.869079221426
74831.05657751775,185696.6068064964,124009.46682160327,27486.8482570338
152739.10936150895,171119.2011060873,58657.49790732635,42064.25395744284
94608.29517211103,96534.60064705512,118485.54387554762,116648.85441647503
46274.325005183724,33112.512896050386,165133.85204257446,180070.94216747978
35818.359020054835,73637.10856692336,177351.73330706573,139546.3464966068
182420.89535932455,208525.00178621587,23320.524588350407,4658.453277314185
185138.2762851851,194539.7822194767,24689.170015586464,18643.67284405352
117241.65018371453,110559.30850100298,95906.88366205698,102624.14656252718
46274.325005183724,48597.932070963994,165133.85204257446,164585.52299256617
114615.58464267102,114250.55041661469,95847.96348676005,98932.90464691549
74831.05657751775,61004.0248031333,124009.46682160327,152179.43026039685
197807.46438604535,210439.705040027,8814.285025800866,2743.7500235028674
42507.340819818164,45400.18024501106,170392.76862554558,167783.27481851907
56253.83660796889,71238.79469745864,152151.1613671435,141944.6603660715
28914.703359515217,34099.473336159346,176409.1373114289,179083.98172737082
9310.213521426847,34879.172083845406,197668.23308961676,178304.28297968477
113526.45825605192,109858.56658852572,98926.11800602992,103324.88847500444
