sine_sec,sine_autal_sec,cosine_sec,cosine_autal_sec
129253.14679916309,131354.57484370258,81350.89401991556,81828.8802198276
101798.51381486966,102407.02513530749,111055.67822419794,110776.42992822269
193379.0777659699,210390.357018022,16404.820731935866,2793.098045508321
125904.43797781922,114517.01986583976,73212.34119593161,98666.43519769041
177153.0142979717,169737.45648993485,30627.94290547783,43445.9985735953
192082.18166508962,209235.61330309452,9708.569662128624,3947.8417604357237
147155.77907237003,162345.12279351894,51445.20429106893,50838.33227001119
192082.18166508962,212384.017107042,9708.569662128624,799.4379564882539
10863.45823440488,63382.599463795865,196622.46148685124,149800.8555997343
170923.1370039756,159127.6218891593,27501.71307780702,54055.83317437089
174605.5491268163,186930.31722623686,35488.43296409985,26253.137837293332
173650.9345761235,172421.9888870312,37458.76407477314,40761.466176498936
177153.0142979717,114753.89037146607,30627.94290547783,98429.5646920641
100709.68056506707,93435.53499550854,96468.74830247067,119747.9200680216
195501.1811300243,205208.80483784544,4873.739795251447,7974.650225684602
170923.1370039756,169767.05543353368,27501.71307780702,43416.39962999649
167039.0155607474,185676.86759769413,43439.99260889439,27506.587465836023
147155.77907237003,130436.69176479698,51445.20429106893,82746.76329873316
101798.51381486966,106798.98922418794,111055.67822419794,106384.46583934221
147155.77907237003,187255.99443226392,51445.20429106893,25927.46063126622
129253.14679916309,80062.23090163687,81350.89401991556,133121.2241618933
82522.1295670465,64448.516739113504,111257.19465050242,148734.93832441664
190975.0339795122,202336.7696963373,1228.2038155956923,10846.68536719279
115616.07119836124,116382.38496724998,97235.74369439496,96801.07009628018
193379.0777659699,191815.76153517174,16404.820731935866,21367.693528358443
190975.0339795122,160479.76756171312,1228.2038155956923,52703.687501817054
16722.548459079208,8902.383169782554,190187.02019365857,204281.0718937475
177153.0142979717,191983.54480999027,30627.94290547783,21199.910253539925
195501.1811300243,191529.55287714448,4873.739795251447,21653.90218638572
172061.51721105014,163292.6048160234,36317.842309256106,49890.85024750674
195501.1811300243,196849.2499101229,4873.739795251447,16334.205153407242
177153.0142979717,183298.3028066359,30627.94290547783,29885.15225689427
195501.1811300243,200017.402792477,4873.739795251447,13166.052271053184
72374.96934246359,72689.63641402319,140625.69728678957,140493.81864950695
52340.639152036,20874.203438699606,143833.24716248873,192309.25162483056
190975.0339795122,195783.34250440975,1228.2038155956923,17400.11255912047
114314.14157863703,118445.13228707765,98212.74431555335,94738.3227764525
174605.5491268163,175106.53115373172,35488.43296409985,38076.923909798395
151921.13803287482,172846.3720066735,46921.59839727767,40337.083056856674
177153.0142979717,159038.805319154,30627.94290547783,54144.649744376184
192082.18166508962,169500.5859843087,9708.569662128624,43682.869079221426
69367.69325076939,60480.92590027122,133959.27193758747,152702.52916325894
125904.43797781922,97353.76794274108,73212.34119593161,115829.68712078907
76358.07147945462,20242.54875702991,56956.21771615105,192940.90630650023
90196.73435502303,99150.03594373933,117673.25626542946,114033.41911979082
195501.1811300243,169757.2055683413,4873.739795251447,43426.24949518884
177153.0142979717,183466.08608145444,30627.94290547783,29717.368982075757
195501.1811300243,211298.3606229216,4873.739795251447,1885.0944406080455
129253.14679916309,96021.38121819842,81350.89401991556,117162.07384533173
177153.0142979717,173922.178625601,30627.94290547783,39261.27643792917
160792.28409970942,174050.4736132109,50726.829261131206,39132.98145031926
49055.963565799895,10254.518972731841,120916.30815702386,202928.93609079835
88994.3137333164,96603.68787786274,123922.1107659962,116579.76718566743
195501.1811300243,169500.5859843087,4873.739795251447,43682.869079221426
82256.48273633322,185696.6068064964,119475.46536992978,27486.8482570338
149203.23584180104,171119.2011060873,61972.50237950019,42064.25395744284
133038.88207146252,96534.60064705512,78637.06741182819,116648.85441647503
49055.963565799895,33112.512896050386,120916.30815702386,180070.94216747978
100709.68056506707,73637.10856692336,96468.74830247067,139546.3464966068
174605.5491268163,208525.00178621587,35488.43296409985,4658.453277314185
193379.0777659699,194539.7822194767,16404.820731935866,18643.67284405352
101798.51381486966,110559.30850100298,111055.67822419794,102624.14656252718
62386.63401143135,48597.932070963994,134745.91684318654,164585.52299256617
129253.14679916309,114250.55041661469,81350.89401991556,98932.90464691549
82256.48273633322,61004.0248031333,119475.46536992978,152179.43026039685
186505.39235453884,210439.705040027,14678.876819084211,2743.7500235028674
46743.23132980548,45400.18024501106,155217.80956108042,167783.27481851907
46743.23132980548,71238.79469745864,155217.80956108042,141944.6603660715
46743.23132980548,34099.473336159346,155217.80956108042,179083.98172737082
16722.548459079208,34879.172083845406,190187.02019365857,178304.28297968477
101304.39509551763,109858.56658852572,110549.64648135078,103324.88847500444
129253.14679916309,132637.62341584425,81350.89401991556,80545.8316476859
98268.9544751367,52229.94649056487,93075.09057232915,160953.50857296525
100709.68056506707,58734.01579088279,96468.74830247067,154449.43927264737
147155.77907237003,186101.26058694097,51445.20429106893,27082.19447658915
82522.1295670465,195655.03764719542,111257.19465050242,17528.417416334723
161196.67518653194,186180.21742214978,23164.354234878578,27003.237641380398
190975.0339795122,197984.2642858526,1228.2038155956923,15199.190777677564
114960.59208499281,144037.00662949818,92560.19718426565,69146.44843403196
113665.79291567582,123212.1512128039,98663.71416726726,89971.30385072624
82256.48273633322,65761.17412445835,119475.46536992978,147422.28093907182
80444.4149349389,47512.2755868442,117780.64633920298,165671.17947668597
101798.51381486966,96741.87220908228,111055.67822419794,116441.58285444789
124970.89959725131,206659.63668480565,42575.3956083746,6523.818378724406
167039.0155607474,166746.97622600902,43439.99260889439,46436.47883752116
100709.68056506707,166342.31257596018,96468.74830247067,46841.142487569996
